,pitches
0,391.9974211310824
1,391.9974211310824
2,391.9974211310824
3,391.9974211310824
4,391.9974211310824
5,391.9974211310824
6,391.9974211310824
7,391.9974211310824
8,391.9974211310824
9,391.9974211310824
10,391.9974211310824
11,391.9974211310824
12,391.9974211310824
13,391.9974211310824
14,391.9974211310824
15,391.9974211310824
16,391.9974211310824
17,391.9974211310824
18,391.9974211310824
19,391.9974211310824
20,391.9974211310824
21,391.9974211310824
22,391.9974211310824
23,391.9974211310824
24,391.9974211310824
25,391.9974211310824
26,391.9974211310824
27,391.9974211310824
28,391.9974211310824
29,391.9974211310824
30,391.9974211310824
31,391.9974211310824
32,391.9974211310824
33,391.9974211310824
34,391.9974211310824
35,391.9974211310824
36,391.9974211310824
37,391.9974211310824
38,391.9974211310824
39,391.9974211310824
40,391.9974211310824
41,391.9974211310824
42,391.9974211310824
43,391.9974211310824
44,391.9974211310824
45,391.9974211310824
46,391.9974211310824
47,391.9974211310824
48,391.9974211310824
49,391.9974211310824
50,391.9974211310824
51,391.9974211310824
52,391.9974211310824
53,391.9974211310824
54,391.9974211310824
55,391.9974211310824
56,391.9974211310824
57,391.9974211310824
58,391.9974211310824
59,391.9974211310824
60,391.9974211310824
61,391.9974211310824
62,391.9974211310824
63,391.9974211310824
64,391.9974211310824
65,391.9974211310824
66,391.9974211310824
67,391.9974211310824
68,391.9974211310824
69,391.9974211310824
70,391.9974211310824
71,391.9974211310824
72,391.9974211310824
73,391.9974211310824
74,391.9974211310824
75,391.9974211310824
76,391.9974211310824
77,391.9974211310824
78,391.9974211310824
79,391.9974211310824
80,391.9974211310824
81,391.9974211310824
82,391.9974211310824
83,391.9974211310824
84,391.9974211310824
85,391.9974211310824
86,391.9974211310824
87,391.9974211310824
88,391.9974211310824
89,391.9974211310824
90,391.9974211310824
91,391.9974211310824
92,391.9974211310824
93,391.9974211310824
94,391.9974211310824
95,391.9974211310824
96,391.9974211310824
97,440.0022282547866
98,493.88580238755605
99,493.88580238755605
100,493.88580238755605
101,659.2584524356556
102,659.2584524356556
103,587.3325101981095
104,523.2537804576435
105,493.88580238755605
106,440.0022282547866
107,440.0022282547866
108,440.0022282547866
109,391.9974211310824
110,391.9974211310824
111,391.9974211310824
112,391.9974211310824
113,391.9974211310824
114,391.9974211310824
115,587.3325101981095
116,587.3325101981095
117,587.3325101981095
118,659.2584524356556
119,587.3325101981095
120,698.46
121,783.9948422621648
122,587.3325101981095
123,523.2537804576435
124,523.2537804576435
125,523.2537804576435
126,493.88580238755605
127,493.88580238755605
128,493.88580238755605
129,523.2537804576435
130,493.88580238755605
131,493.88580238755605
132,523.2537804576435
133,587.3325101981095
134,523.2537804576435
135,523.2537804576435
136,493.88580238755605
137,493.88580238755605
138,440.0022282547866
139,440.0022282547866
140,440.0022282547866
141,440.0022282547866
142,391.9974211310824
143,391.9974211310824
144,391.9974211310824
145,391.9974211310824
146,391.9974211310824
147,391.9974211310824
148,391.9974211310824
149,493.88580238755605
150,659.2584524356556
151,659.2584524356556
152,523.2537804576435
153,493.88580238755605
154,493.88580238755605
155,493.88580238755605
156,440.0022282547866
157,493.88580238755605
158,493.88580238755605
159,523.2537804576435
160,523.2537804576435
161,493.88580238755605
162,493.88580238755605
163,440.0022282547866
164,440.0022282547866
165,440.0022282547866
166,493.88580238755605
167,523.2537804576435
168,493.88580238755605
169,493.88580238755605
170,523.2537804576435
171,523.2537804576435
172,493.88580238755605
173,493.88580238755605
174,440.0022282547866
175,440.0022282547866
176,440.0022282547866
177,440.0022282547866
178,440.0022282547866
179,440.0022282547866
180,391.9974211310824
181,391.9974211310824
182,391.9974211310824
183,391.9974211310824
184,391.9974211310824
185,391.9974211310824
186,391.9974211310824
187,440.0022282547866
188,1046.5075609152873
189,2793.84
190,1174.665020396219
191,1174.665020396219
192,698.46
193,587.3325101981095
194,523.2537804576435
195,523.2537804576435
196,523.2537804576435
197,523.2537804576435
198,493.88580238755605
199,523.2537804576435
200,659.2584524356556
201,659.2584524356556
202,587.3325101981095
203,523.2537804576435
204,493.88580238755605
205,493.88580238755605
206,440.0022282547866
207,440.0022282547866
208,440.0022282547866
209,440.0022282547866
210,391.9974211310824
211,391.9974211310824
212,391.9974211310824
213,391.9974211310824
214,391.9974211310824
215,440.0022282547866
216,440.0022282547866
217,440.0022282547866
218,440.0022282547866
219,440.0022282547866
220,440.0022282547866
221,440.0022282547866
222,493.88580238755605
223,493.88580238755605
224,440.0022282547866
225,440.0022282547866
226,440.0022282547866
227,440.0022282547866
228,391.9974211310824
229,391.9974211310824
230,391.9974211310824
231,391.9974211310824
232,391.9974211310824
233,391.9974211310824
234,391.9974211310824
235,391.9974211310824
236,391.9974211310824
237,391.9974211310824
238,391.9974211310824
239,391.9974211310824
240,391.9974211310824
241,391.9974211310824
242,391.9974211310824
243,440.0022282547866
244,493.88580238755605
245,440.0022282547866
246,440.0022282547866
247,440.0022282547866
248,440.0022282547866
249,440.0022282547866
250,440.0022282547866
251,440.0022282547866
252,440.0022282547866
253,440.0022282547866
254,440.0022282547866
255,440.0022282547866
256,440.0022282547866
257,440.0022282547866
258,440.0022282547866
259,440.0022282547866
260,440.0022282547866
261,440.0022282547866
262,440.0022282547866
263,440.0022282547866
264,493.88580238755605
265,659.2584524356556
266,783.9948422621648
267,659.2584524356556
268,523.2537804576435
269,523.2537804576435
270,493.88580238755605
271,493.88580238755605
272,440.0022282547866
273,440.0022282547866
274,440.0022282547866
275,440.0022282547866
276,440.0022282547866
277,440.0022282547866
278,391.9974211310824
279,391.9974211310824
280,391.9974211310824
281,391.9974211310824
282,391.9974211310824
283,391.9974211310824
284,391.9974211310824
285,391.9974211310824
286,440.0022282547866
287,493.88580238755605
288,493.88580238755605
289,493.88580238755605
290,523.2537804576435
291,523.2537804576435
292,523.2537804576435
293,493.88580238755605
294,493.88580238755605
295,523.2537804576435
296,493.88580238755605
297,493.88580238755605
298,440.0022282547866
299,440.0022282547866
300,440.0022282547866
301,440.0022282547866
302,440.0022282547866
303,391.9974211310824
304,391.9974211310824
305,391.9974211310824
306,391.9974211310824
307,391.9974211310824
308,391.9974211310824
309,391.9974211310824
310,391.9974211310824
311,391.9974211310824
312,391.9974211310824
313,391.9974211310824
314,391.9974211310824
315,391.9974211310824
316,391.9974211310824
317,391.9974211310824
318,391.9974211310824
319,391.9974211310824
320,391.9974211310824
321,391.9974211310824
322,391.9974211310824
323,391.9974211310824
324,391.9974211310824
325,391.9974211310824
326,391.9974211310824
327,391.9974211310824
328,391.9974211310824
329,391.9974211310824
330,391.9974211310824
331,391.9974211310824
332,391.9974211310824
333,391.9974211310824
334,391.9974211310824
335,391.9974211310824
336,391.9974211310824
337,391.9974211310824
338,391.9974211310824
339,391.9974211310824
340,391.9974211310824
341,391.9974211310824
342,391.9974211310824
343,391.9974211310824
344,391.9974211310824
345,391.9974211310824
346,391.9974211310824
347,391.9974211310824
348,391.9974211310824
349,391.9974211310824
350,391.9974211310824
351,391.9974211310824
352,391.9974211310824
353,391.9974211310824
354,391.9974211310824
355,391.9974211310824
356,391.9974211310824
357,391.9974211310824
358,391.9974211310824
359,391.9974211310824
360,391.9974211310824
361,391.9974211310824
362,391.9974211310824
363,391.9974211310824
364,391.9974211310824
365,391.9974211310824
